iter	MultiClass
0	1.033754905
1	0.9772842738
2	0.9174747092
3	0.8687488142
4	0.8264847401
5	0.7896634306
6	0.7562435064
7	0.7237418451
8	0.6949323772
9	0.6703159132
10	0.6488310397
11	0.6274835304
12	0.6093803624
13	0.594341314
14	0.581276841
15	0.5635898395
16	0.5517511162
17	0.5369302419
18	0.5256439577
19	0.5142782515
20	0.5042005939
21	0.4962955358
22	0.4898727663
23	0.4826930723
24	0.4761935759
25	0.4680702904
26	0.4629298866
27	0.455335678
28	0.4507295757
29	0.4452123781
30	0.4397198891
31	0.4343568434
32	0.4304088771
33	0.4251006608
34	0.4222711201
35	0.4192186153
36	0.4150939001
37	0.4111908212
38	0.4057646625
39	0.4012592454
40	0.3998015761
41	0.3960407677
42	0.3918388975
43	0.389252386
44	0.3854676772
45	0.3822418884
46	0.3795679505
47	0.3769426955
48	0.3740821376
49	0.3727423874
50	0.3714812625
51	0.369243613
52	0.3667669191
53	0.3653544834
54	0.3632885314
55	0.3608490833
56	0.3586362691
57	0.3569337323
58	0.3555432824
59	0.3532260407
60	0.3523713905
61	0.3505431102
62	0.3485829292
63	0.3464237697
64	0.3443575434
65	0.3430518558
66	0.341883044
67	0.3401760775
68	0.3386667068
69	0.3371318765
70	0.335450941
71	0.3343375752
72	0.3329352416
73	0.3313443281
74	0.3301699945
75	0.3286657162
76	0.3274906941
77	0.3266875724
78	0.3252957181
79	0.3238488227
80	0.3219839509
81	0.3213469744
82	0.3200377963
83	0.3188701427
84	0.3180484093
85	0.317269473
86	0.3160011971
87	0.3153962521
88	0.3148459051
89	0.3138167264
90	0.312774501
91	0.3117305486
92	0.3112561377
93	0.3104297334
94	0.3092222848
95	0.3082661277
96	0.3076437323
97	0.3066613547
98	0.3057508545
99	0.3048512565
100	0.3041798785
101	0.3035170098
102	0.3029566207
103	0.3019300956
104	0.3014417231
105	0.3005254641
106	0.2997396576
107	0.2991559456
108	0.2977823587
109	0.2974010071
110	0.2966642823
111	0.2961920235
112	0.2955095833
113	0.2949516449
114	0.2943461203
115	0.2936462405
116	0.293185113
117	0.2926245122
118	0.2920631496
119	0.2916337674
120	0.2910628991
121	0.2905920603
122	0.2899437758
123	0.289493942
124	0.2887893432
125	0.2881620433
126	0.2877839645
127	0.2870965083
128	0.2863474818
129	0.2855421476
130	0.2848151607
131	0.2841294036
132	0.2837451699
133	0.2833645367
134	0.2828698981
135	0.2824852938
136	0.2819897052
137	0.2817160607
138	0.2811650179
139	0.2807924207
140	0.280428687
141	0.279544194
142	0.279019581
143	0.278278783
144	0.2779334466
145	0.2773308187
146	0.2763778456
147	0.2757571642
148	0.2753812925
149	0.2749120311
150	0.2745671869
151	0.2739924271
152	0.2733896804
153	0.2727930739
154	0.2724209466
155	0.2719990105
156	0.2715683944
157	0.2710429949
158	0.2707586865
159	0.2701871559
160	0.2691506181
161	0.2687096957
162	0.2685330895
163	0.2681661025
164	0.2676029359
165	0.2674512354
166	0.2672071427
167	0.2664334147
168	0.266053895
169	0.2657100027
170	0.2651810417
171	0.2648124329
172	0.263964297
173	0.2636245211
174	0.2632896794
175	0.2628555022
176	0.2625751924
177	0.2622951688
178	0.2617621031
179	0.2611932204
180	0.2608632227
181	0.2602834074
182	0.2599787167
183	0.2597379415
184	0.2591882523
185	0.2587046693
186	0.2580461706
187	0.2576723198
188	0.2570634334
189	0.2566035368
190	0.2558259932
191	0.2555045858
192	0.254964666
193	0.2542890931
194	0.2540724765
195	0.2537699349
196	0.2534654841
197	0.2530177733
198	0.252722722
199	0.2522502553
200	0.25187414
201	0.2515840342
202	0.2508885419
203	0.2504021803
204	0.2495910715
205	0.2491781788
206	0.2487711148
207	0.2485979658
208	0.2482103697
209	0.2475860805
210	0.2469654019
211	0.2465303673
212	0.2460957773
213	0.2458220015
214	0.2455781404
215	0.2454466219
216	0.24495997
217	0.2447788392
218	0.2445898396
219	0.2442016605
220	0.2439951026
221	0.2438837936
222	0.2436737599
223	0.2432722498
224	0.2430041026
225	0.2425764923
226	0.2423216791
227	0.2419434005
228	0.2418486477
229	0.2414554886
230	0.2412784602
231	0.2410097261
232	0.2409072956
233	0.2406940831
234	0.2404202157
235	0.2402304103
236	0.2401011417
237	0.2397309657
238	0.2394705023
239	0.2392572334
240	0.2391322458
241	0.238975508
242	0.2388034277
243	0.2385744844
244	0.2383773484
245	0.2381257503
246	0.2377395987
247	0.2374238054
248	0.237276601
249	0.2369162473
250	0.2367910579
251	0.2366844603
252	0.2364590747
253	0.2361662483
254	0.2359951592
255	0.2357761012
256	0.2354981048
257	0.2353752126
258	0.2351026217
259	0.2348463145
260	0.2347152803
261	0.2343873611
262	0.2341483836
263	0.2338640855
264	0.2334480608
265	0.2329350672
266	0.2326695654
267	0.2325985967
268	0.2323435493
269	0.2321814868
270	0.2319198578
271	0.2317146978
272	0.2314478989
273	0.2312393363
274	0.2308762818
275	0.2306533002
276	0.2301900872
277	0.2298428916
278	0.2296120466
279	0.2295253924
280	0.229096914
281	0.2288245373
282	0.2284994501
283	0.2283018877
284	0.2281952236
285	0.2279293271
286	0.2278016024
287	0.2275116226
288	0.2271918482
289	0.2270197271
290	0.2266871364
291	0.2263601944
292	0.2261868625
293	0.2259111862
294	0.2256016885
295	0.2254168773
296	0.225203757
297	0.2250116002
298	0.2247180139
299	0.2245666933
