iter	Passed	Remaining
0	48	14561
1	49	7384
2	50	4982
3	51	3781
4	51	3057
5	52	2572
6	53	2226
7	53	1964
8	54	1761
9	55	1597
10	55	1463
11	56	1350
12	56	1254
13	57	1173
14	58	1105
15	58	1043
16	59	988
17	59	939
18	60	894
19	61	854
20	61	817
21	62	784
22	62	753
23	63	725
24	63	700
25	64	676
26	64	653
27	65	633
28	65	614
29	66	596
30	66	579
31	67	563
32	67	548
33	68	534
34	68	521
35	69	508
36	69	496
37	70	485
38	70	474
39	71	464
40	71	454
41	72	445
42	73	436
43	73	428
44	74	420
45	74	413
46	75	405
47	75	398
48	76	392
49	77	385
50	77	379
51	78	373
52	78	367
53	79	361
54	79	355
55	80	350
56	81	345
57	81	340
58	82	335
59	82	330
60	83	325
61	83	320
62	84	316
63	84	312
64	85	308
65	85	303
66	86	299
67	86	295
68	87	292
69	87	288
70	88	284
71	88	281
72	89	277
73	89	274
74	90	271
75	90	267
76	91	264
77	91	261
78	92	258
79	92	254
80	93	251
81	93	248
82	93	245
83	94	242
84	95	240
85	95	237
86	96	235
87	96	232
88	97	230
89	97	227
90	98	225
91	98	222
92	98	220
93	99	217
94	99	215
95	100	212
96	100	210
97	100	208
98	101	206
99	102	204
100	102	201
101	102	199
102	103	197
103	103	195
104	104	193
105	104	191
106	104	189
107	105	187
108	105	185
109	106	183
110	106	181
111	107	179
112	107	177
113	107	176
114	108	174
115	109	173
116	109	171
117	110	170
118	110	168
119	111	167
120	112	165
121	112	164
122	113	163
123	114	162
124	114	160
125	115	159
126	116	158
127	116	156
128	117	155
129	118	154
130	118	153
131	119	152
132	120	150
133	120	149
134	121	148
135	122	147
136	122	146
137	123	144
138	123	143
139	124	142
140	124	140
141	125	139
142	125	138
143	126	136
144	126	135
145	126	133
146	127	132
147	127	130
148	127	129
149	128	128
150	128	126
151	128	125
152	129	124
153	129	122
154	130	121
155	130	120
156	130	119
157	131	117
158	131	116
159	131	115
160	132	114
161	132	113
162	133	111
163	133	110
164	134	109
165	134	108
166	134	107
167	135	106
168	135	105
169	136	104
170	136	103
171	137	102
172	137	100
173	137	99
174	138	98
175	138	97
176	139	96
177	139	95
178	140	94
179	140	93
180	141	92
181	141	91
182	141	90
183	142	89
184	142	88
185	143	87
186	143	86
187	143	85
188	144	84
189	144	83
190	145	82
191	145	81
192	145	80
193	146	79
194	146	79
195	147	78
196	147	77
197	147	76
198	148	75
199	148	74
200	149	73
201	149	72
202	149	71
203	150	70
204	150	69
205	151	69
206	151	68
207	152	67
208	152	66
209	152	65
210	153	64
211	153	63
212	154	62
213	154	62
214	154	61
215	155	60
216	155	59
217	156	58
218	156	57
219	156	57
220	157	56
221	157	55
222	157	54
223	158	53
224	158	52
225	159	52
226	159	51
227	160	50
228	160	49
229	160	48
230	161	48
231	161	47
232	162	46
233	162	45
234	162	45
235	163	44
236	163	43
237	164	42
238	164	41
239	164	41
240	165	40
241	165	39
242	165	38
243	166	38
244	166	37
245	167	36
246	167	35
247	167	35
248	168	34
249	168	33
250	168	32
251	169	32
252	169	31
253	170	30
254	170	30
255	170	29
256	171	28
257	171	27
258	172	27
259	172	26
260	173	25
261	173	25
262	173	24
263	174	23
264	174	23
265	175	22
266	175	21
267	175	21
268	176	20
269	176	19
270	177	18
271	177	18
272	177	17
273	178	16
274	178	16
275	179	15
276	179	14
277	179	14
278	180	13
279	180	12
280	181	12
281	181	11
282	181	10
283	182	10
284	182	9
285	183	8
286	184	8
287	184	7
288	185	7
289	185	6
290	186	5
291	186	5
292	187	4
293	187	3
294	188	3
295	188	2
296	189	1
297	189	1
298	190	0
299	190	0
